train_fraction,train_samples,train_accuracy,test_accuracy
0.1,6300,1.0,0.9934
0.2,12600,1.0,0.9939
0.4,25200,1.0,0.9944
0.6,37800,0.99989417989418,0.9955
0.8,50400,0.9998809523809524,0.9954
1.0,63000,0.9998412698412699,0.9954
